,concept:name,time:timestamp,case:concept:name
0,add items,1970-04-26 18:46:40,0
1,cancel,1970-04-26 18:46:41,0
2,add items,1970-04-26 18:46:42,1
3,add items,1970-04-26 18:46:43,1
4,add items,1970-04-26 18:46:44,1
5,finalize,1970-04-26 18:46:45,1
6,pack,1970-04-26 18:46:46,1
7,pay,1970-04-26 18:46:47,1
8,validate,1970-04-26 18:46:48,1
9,deliver,1970-04-26 18:46:49,1
10,add items,1970-04-26 18:46:50,2
11,cancel,1970-04-26 18:46:51,2
12,add items,1970-04-26 18:46:52,3
13,cancel,1970-04-26 18:46:53,3
14,add items,1970-04-26 18:46:54,4
15,finalize,1970-04-26 18:46:55,4
16,pack,1970-04-26 18:46:56,4
17,pay,1970-04-26 18:46:57,4
18,validate,1970-04-26 18:46:58,4
19,deliver,1970-04-26 18:46:59,4
20,add items,1970-04-26 18:47:00,5
21,finalize,1970-04-26 18:47:01,5
22,pay,1970-04-26 18:47:02,5
23,pack,1970-04-26 18:47:03,5
24,validate,1970-04-26 18:47:04,5
25,deliver,1970-04-26 18:47:05,5
26,add items,1970-04-26 18:47:06,6
27,add items,1970-04-26 18:47:07,6
28,cancel,1970-04-26 18:47:08,6
29,add items,1970-04-26 18:47:09,7
30,add items,1970-04-26 18:47:10,7
31,add items,1970-04-26 18:47:11,7
32,cancel,1970-04-26 18:47:12,7
33,add items,1970-04-26 18:47:13,8
34,finalize,1970-04-26 18:47:14,8
35,pay,1970-04-26 18:47:15,8
36,pack,1970-04-26 18:47:16,8
37,validate,1970-04-26 18:47:17,8
38,cancel,1970-04-26 18:47:18,8
39,add items,1970-04-26 18:47:19,9
40,add items,1970-04-26 18:47:20,9
41,add items,1970-04-26 18:47:21,9
42,finalize,1970-04-26 18:47:22,9
43,pay,1970-04-26 18:47:23,9
44,pack,1970-04-26 18:47:24,9
45,validate,1970-04-26 18:47:25,9
46,cancel,1970-04-26 18:47:26,9
47,add items,1970-04-26 18:47:27,10
48,add items,1970-04-26 18:47:28,10
49,finalize,1970-04-26 18:47:29,10
50,pay,1970-04-26 18:47:30,10
51,pack,1970-04-26 18:47:31,10
52,validate,1970-04-26 18:47:32,10
53,deliver,1970-04-26 18:47:33,10
54,add items,1970-04-26 18:47:34,11
55,finalize,1970-04-26 18:47:35,11
56,pay,1970-04-26 18:47:36,11
57,pack,1970-04-26 18:47:37,11
58,validate,1970-04-26 18:47:38,11
59,deliver,1970-04-26 18:47:39,11
60,add items,1970-04-26 18:47:40,12
61,add items,1970-04-26 18:47:41,12
62,finalize,1970-04-26 18:47:42,12
