,concept:name,time:timestamp,case:concept:name
0,c,1970-04-26 18:46:40,0
1,b,1970-04-26 18:46:41,0
2,e,1970-04-26 18:46:42,0
3,i,1970-04-26 18:46:43,0
4,n,1970-04-26 18:46:44,0
5,e,1970-04-26 18:46:45,1
6,f,1970-04-26 18:46:46,1
7,f,1970-04-26 18:46:47,1
8,f,1970-04-26 18:46:48,1
9,i,1970-04-26 18:46:49,1
10,m,1970-04-26 18:46:50,1
11,k,1970-04-26 18:46:51,1
12,m,1970-04-26 18:46:52,1
13,j,1970-04-26 18:46:53,1
14,m,1970-04-26 18:46:54,1
15,j,1970-04-26 18:46:55,1
16,l,1970-04-26 18:46:56,1
17,m,1970-04-26 18:46:57,1
18,j,1970-04-26 18:46:58,1
19,l,1970-04-26 18:46:59,1
20,l,1970-04-26 18:47:00,1
21,n,1970-04-26 18:47:01,1
22,b,1970-04-26 18:47:02,2
23,e,1970-04-26 18:47:03,2
24,f,1970-04-26 18:47:04,2
25,h,1970-04-26 18:47:05,2
26,f,1970-04-26 18:47:06,2
27,i,1970-04-26 18:47:07,2
28,j,1970-04-26 18:47:08,2
29,n,1970-04-26 18:47:09,2
30,d,1970-04-26 18:47:10,3
31,b,1970-04-26 18:47:11,3
32,d,1970-04-26 18:47:12,3
33,c,1970-04-26 18:47:13,3
34,e,1970-04-26 18:47:14,3
35,g,1970-04-26 18:47:15,3
36,i,1970-04-26 18:47:16,3
37,n,1970-04-26 18:47:17,3
38,e,1970-04-26 18:47:18,4
39,f,1970-04-26 18:47:19,4
40,f,1970-04-26 18:47:20,4
41,g,1970-04-26 18:47:21,4
42,i,1970-04-26 18:47:22,4
43,m,1970-04-26 18:47:23,4
44,m,1970-04-26 18:47:24,4
45,l,1970-04-26 18:47:25,4
46,n,1970-04-26 18:47:26,4
47,d,1970-04-26 18:47:27,5
48,d,1970-04-26 18:47:28,5
49,b,1970-04-26 18:47:29,5
50,b,1970-04-26 18:47:30,5
51,d,1970-04-26 18:47:31,5
52,b,1970-04-26 18:47:32,5
53,e,1970-04-26 18:47:33,5
54,g,1970-04-26 18:47:34,5
55,f,1970-04-26 18:47:35,5
56,f,1970-04-26 18:47:36,5
57,h,1970-04-26 18:47:37,5
58,i,1970-04-26 18:47:38,5
59,n,1970-04-26 18:47:39,5
60,c,1970-04-26 18:47:40,6
61,e,1970-04-26 18:47:41,6
62,i,1970-04-26 18:47:42,6
63,m,1970-04-26 18:47:43,6
64,j,1970-04-26 18:47:44,6
65,k,1970-04-26 18:47:45,6
66,l,1970-04-26 18:47:46,6
67,m,1970-04-26 18:47:47,6
68,n,1970-04-26 18:47:48,6
69,a,1970-04-26 18:47:49,7
70,c,1970-04-26 18:47:50,7
71,e,1970-04-26 18:47:51,7
72,i,1970-04-26 18:47:52,7
73,l,1970-04-26 18:47:53,7
74,n,1970-04-26 18:47:54,7
75,e,1970-04-26 18:47:55,8
76,h,1970-04-26 18:47:56,8
77,h,1970-04-26 18:47:57,8
78,i,1970-04-26 18:47:58,8
79,l,1970-04-26 18:47:59,8
80,m,1970-04-26 18:48:00,8
81,l,1970-04-26 18:48:01,8
82,m,1970-04-26 18:48:02,8
83,l,1970-04-26 18:48:03,8
84,j,1970-04-26 18:48:04,8
85,l,1970-04-26 18:48:05,8
86,m,1970-04-26 18:48:06,8
87,k,1970-04-26 18:48:07,8
88,m,1970-04-26 18:48:08,8
89,l,1970-04-26 18:48:09,8
90,m,1970-04-26 18:48:10,8
91,m,1970-04-26 18:48:11,8
92,m,1970-04-26 18:48:12,8
93,l,1970-04-26 18:48:13,8
94,n,1970-04-26 18:48:14,8
95,b,1970-04-26 18:48:15,9
96,e,1970-04-26 18:48:16,9
97,g,1970-04-26 18:48:17,9
98,f,1970-04-26 18:48:18,9
99,g,1970-04-26 18:48:19,9
100,h,1970-04-26 18:48:20,9
101,h,1970-04-26 18:48:21,9
102,f,1970-04-26 18:48:22,9
103,f,1970-04-26 18:48:23,9
104,g,1970-04-26 18:48:24,9
105,h,1970-04-26 18:48:25,9
106,h,1970-04-26 18:48:26,9
107,f,1970-04-26 18:48:27,9
108,h,1970-04-26 18:48:28,9
109,i,1970-04-26 18:48:29,9
110,j,1970-04-26 18:48:30,9
111,l,1970-04-26 18:48:31,9
112,j,1970-04-26 18:48:32,9
113,k,1970-04-26 18:48:33,9
