,concept:name,time:timestamp,case:concept:name
0,register,1970-04-26 18:46:40,0
1,evaluate,1970-04-26 18:46:41,0
2,no processing,1970-04-26 18:46:42,0
3,send questionnaire,1970-04-26 18:46:43,0
4,process questionnaire,1970-04-26 18:46:44,0
5,archive,1970-04-26 18:46:45,0
6,register,1970-04-26 18:46:46,1
7,send questionnaire,1970-04-26 18:46:47,1
8,time out,1970-04-26 18:46:48,1
9,evaluate,1970-04-26 18:46:49,1
10,no processing,1970-04-26 18:46:50,1
11,archive,1970-04-26 18:46:51,1
12,register,1970-04-26 18:46:52,2
13,evaluate,1970-04-26 18:46:53,2
14,send questionnaire,1970-04-26 18:46:54,2
15,process questionnaire,1970-04-26 18:46:55,2
16,processing required,1970-04-26 18:46:56,2
17,process complaint,1970-04-26 18:46:57,2
18,check processing,1970-04-26 18:46:58,2
19,processing nok,1970-04-26 18:46:59,2
20,process complaint,1970-04-26 18:47:00,2
21,check processing,1970-04-26 18:47:01,2
22,processing nok,1970-04-26 18:47:02,2
23,process complaint,1970-04-26 18:47:03,2
24,check processing,1970-04-26 18:47:04,2
25,processing ok,1970-04-26 18:47:05,2
26,archive,1970-04-26 18:47:06,2
27,register,1970-04-26 18:47:07,3
28,send questionnaire,1970-04-26 18:47:08,3
29,time out,1970-04-26 18:47:09,3
30,evaluate,1970-04-26 18:47:10,3
31,no processing,1970-04-26 18:47:11,3
32,archive,1970-04-26 18:47:12,3
33,register,1970-04-26 18:47:13,4
34,send questionnaire,1970-04-26 18:47:14,4
35,evaluate,1970-04-26 18:47:15,4
36,no processing,1970-04-26 18:47:16,4
37,time out,1970-04-26 18:47:17,4
38,archive,1970-04-26 18:47:18,4
39,register,1970-04-26 18:47:19,5
40,evaluate,1970-04-26 18:47:20,5
41,no processing,1970-04-26 18:47:21,5
42,send questionnaire,1970-04-26 18:47:22,5
43,process questionnaire,1970-04-26 18:47:23,5
44,archive,1970-04-26 18:47:24,5
45,register,1970-04-26 18:47:25,6
46,evaluate,1970-04-26 18:47:26,6
47,no processing,1970-04-26 18:47:27,6
48,send questionnaire,1970-04-26 18:47:28,6
