,concept:name,time:timestamp,case:concept:name
0,register request,1970-04-26 18:46:40,0
1,examine,1970-04-26 18:46:41,0
2,check ticket,1970-04-26 18:46:42,0
3,decide,1970-04-26 18:46:43,0
4,reinitiate request,1970-04-26 18:46:44,0
5,check ticket,1970-04-26 18:46:45,0
6,decide,1970-04-26 18:46:46,0
7,reject request,1970-04-26 18:46:47,0
8,register request,1970-04-26 18:46:48,1
9,check ticket,1970-04-26 18:46:49,1
10,decide,1970-04-26 18:46:50,1
11,reject request,1970-04-26 18:46:51,1
12,register request,1970-04-26 18:46:52,2
13,check ticket,1970-04-26 18:46:53,2
14,examine,1970-04-26 18:46:54,2
15,decide,1970-04-26 18:46:55,2
16,pay compensation,1970-04-26 18:46:56,2
17,register request,1970-04-26 18:46:57,3
18,examine,1970-04-26 18:46:58,3
19,check ticket,1970-04-26 18:46:59,3
20,decide,1970-04-26 18:47:00,3
21,reject request,1970-04-26 18:47:01,3
22,register request,1970-04-26 18:47:02,4
23,examine,1970-04-26 18:47:03,4
24,check ticket,1970-04-26 18:47:04,4
25,decide,1970-04-26 18:47:05,4
26,reject request,1970-04-26 18:47:06,4
27,register request,1970-04-26 18:47:07,5
28,examine,1970-04-26 18:47:08,5
29,check ticket,1970-04-26 18:47:09,5
30,decide,1970-04-26 18:47:10,5
31,reject request,1970-04-26 18:47:11,5
32,register request,1970-04-26 18:47:12,6
33,check ticket,1970-04-26 18:47:13,6
34,decide,1970-04-26 18:47:14,6
35,pay compensation,1970-04-26 18:47:15,6
36,register request,1970-04-26 18:47:16,7
37,check ticket,1970-04-26 18:47:17,7
38,examine,1970-04-26 18:47:18,7
39,decide,1970-04-26 18:47:19,7
40,reject request,1970-04-26 18:47:20,7
41,register request,1970-04-26 18:47:21,8
42,check ticket,1970-04-26 18:47:22,8
43,examine,1970-04-26 18:47:23,8
44,decide,1970-04-26 18:47:24,8
45,reject request,1970-04-26 18:47:25,8
46,register request,1970-04-26 18:47:26,9
47,check ticket,1970-04-26 18:47:27,9
48,examine,1970-04-26 18:47:28,9
49,decide,1970-04-26 18:47:29,9
50,pay compensation,1970-04-26 18:47:30,9
51,register request,1970-04-26 18:47:31,10
52,examine,1970-04-26 18:47:32,10
53,check ticket,1970-04-26 18:47:33,10
54,decide,1970-04-26 18:47:34,10
55,reinitiate request,1970-04-26 18:47:35,10
56,check ticket,1970-04-26 18:47:36,10
57,examine,1970-04-26 18:47:37,10
58,decide,1970-04-26 18:47:38,10
59,reject request,1970-04-26 18:47:39,10
60,register request,1970-04-26 18:47:40,11
61,examine,1970-04-26 18:47:41,11
62,check ticket,1970-04-26 18:47:42,11
63,decide,1970-04-26 18:47:43,11
64,reject request,1970-04-26 18:47:44,11
65,register request,1970-04-26 18:47:45,12
66,check ticket,1970-04-26 18:47:46,12
67,decide,1970-04-26 18:47:47,12
68,pay compensation,1970-04-26 18:47:48,12
69,register request,1970-04-26 18:47:49,13
70,check ticket,1970-04-26 18:47:50,13
71,decide,1970-04-26 18:47:51,13
72,reject request,1970-04-26 18:47:52,13
73,register request,1970-04-26 18:47:53,14
74,check ticket,1970-04-26 18:47:54,14
75,decide,1970-04-26 18:47:55,14
76,pay compensation,1970-04-26 18:47:56,14
77,register request,1970-04-26 18:47:57,15
78,check ticket,1970-04-26 18:47:58,15
79,examine,1970-04-26 18:47:59,15
80,decide,1970-04-26 18:48:00,15
81,reject request,1970-04-26 18:48:01,15
82,register request,1970-04-26 18:48:02,16
83,check ticket,1970-04-26 18:48:03,16
84,examine,1970-04-26 18:48:04,16
85,decide,1970-04-26 18:48:05,16
86,pay compensation,1970-04-26 18:48:06,16
87,register request,1970-04-26 18:48:07,17
88,examine,1970-04-26 18:48:08,17
89,check ticket,1970-04-26 18:48:09,17
90,decide,1970-04-26 18:48:10,17
91,pay compensation,1970-04-26 18:48:11,17
92,register request,1970-04-26 18:48:12,18
93,check ticket,1970-04-26 18:48:13,18
94,examine,1970-04-26 18:48:14,18
95,decide,1970-04-26 18:48:15,18
96,reinitiate request,1970-04-26 18:48:16,18
97,check ticket,1970-04-26 18:48:17,18
98,decide,1970-04-26 18:48:18,18
99,pay compensation,1970-04-26 18:48:19,18
100,register request,1970-04-26 18:48:20,19
101,check ticket,1970-04-26 18:48:21,19
102,decide,1970-04-26 18:48:22,19
103,pay compensation,1970-04-26 18:48:23,19
104,register request,1970-04-26 18:48:24,20
105,examine,1970-04-26 18:48:25,20
106,check ticket,1970-04-26 18:48:26,20
107,decide,1970-04-26 18:48:27,20
108,reject request,1970-04-26 18:48:28,20
109,register request,1970-04-26 18:48:29,21
110,check ticket,1970-04-26 18:48:30,21
111,examine,1970-04-26 18:48:31,21
112,decide,1970-04-26 18:48:32,21
113,reject request,1970-04-26 18:48:33,21
114,register request,1970-04-26 18:48:34,22
115,check ticket,1970-04-26 18:48:35,22
116,decide,1970-04-26 18:48:36,22
117,pay compensation,1970-04-26 18:48:37,22
118,register request,1970-04-26 18:48:38,23
119,check ticket,1970-04-26 18:48:39,23
120,decide,1970-04-26 18:48:40,23
121,pay compensation,1970-04-26 18:48:41,23
122,register request,1970-04-26 18:48:42,24
123,examine,1970-04-26 18:48:43,24
124,check ticket,1970-04-26 18:48:44,24
125,decide,1970-04-26 18:48:45,24
126,reinitiate request,1970-04-26 18:48:46,24
127,check ticket,1970-04-26 18:48:47,24
128,examine,1970-04-26 18:48:48,24
129,decide,1970-04-26 18:48:49,24
130,reject request,1970-04-26 18:48:50,24
131,register request,1970-04-26 18:48:51,25
132,check ticket,1970-04-26 18:48:52,25
133,decide,1970-04-26 18:48:53,25
134,pay compensation,1970-04-26 18:48:54,25
135,register request,1970-04-26 18:48:55,26
136,check ticket,1970-04-26 18:48:56,26
137,decide,1970-04-26 18:48:57,26
138,reinitiate request,1970-04-26 18:48:58,26
139,examine,1970-04-26 18:48:59,26
140,check ticket,1970-04-26 18:49:00,26
141,decide,1970-04-26 18:49:01,26
142,pay compensation,1970-04-26 18:49:02,26
143,register request,1970-04-26 18:49:03,27
144,check ticket,1970-04-26 18:49:04,27
145,decide,1970-04-26 18:49:05,27
146,pay compensation,1970-04-26 18:49:06,27
147,register request,1970-04-26 18:49:07,28
148,examine,1970-04-26 18:49:08,28
