,concept:name,time:timestamp,case:concept:name
0,Check plane,1970-04-26 18:46:40,0
1,Decide,1970-04-26 18:46:41,0
2,Book plane,1970-04-26 18:46:42,0
3,Check hotel,1970-04-26 18:46:43,1
4,Decide,1970-04-26 18:46:44,1
5,Book plane,1970-04-26 18:46:45,1
6,Check hotel,1970-04-26 18:46:46,2
7,Decide,1970-04-26 18:46:47,2
8,Book hotel,1970-04-26 18:46:48,2
9,Check hotel,1970-04-26 18:46:49,3
10,Decide,1970-04-26 18:46:50,3
11,Book hotel,1970-04-26 18:46:51,3
12,Check plane,1970-04-26 18:46:52,4
13,Decide,1970-04-26 18:46:53,4
14,Book plane,1970-04-26 18:46:54,4
15,Check hotel,1970-04-26 18:46:55,5
16,Decide,1970-04-26 18:46:56,5
17,Book plane,1970-04-26 18:46:57,5
18,Check hotel,1970-04-26 18:46:58,6
19,Decide,1970-04-26 18:46:59,6
20,Book hotel,1970-04-26 18:47:00,6
21,Check hotel,1970-04-26 18:47:01,7
22,Decide,1970-04-26 18:47:02,7
23,Book hotel,1970-04-26 18:47:03,7
24,Check hotel,1970-04-26 18:47:04,8
25,Decide,1970-04-26 18:47:05,8
26,Book hotel,1970-04-26 18:47:06,8
27,Check plane,1970-04-26 18:47:07,9
28,Decide,1970-04-26 18:47:08,9
29,Book hotel,1970-04-26 18:47:09,9
30,Check hotel,1970-04-26 18:47:10,10
31,Decide,1970-04-26 18:47:11,10
32,Book plane,1970-04-26 18:47:12,10
33,Check plane,1970-04-26 18:47:13,11
34,Decide,1970-04-26 18:47:14,11
35,Book hotel,1970-04-26 18:47:15,11
36,Check plane,1970-04-26 18:47:16,12
37,Decide,1970-04-26 18:47:17,12
38,Book hotel,1970-04-26 18:47:18,12
39,Check hotel,1970-04-26 18:47:19,13
40,Decide,1970-04-26 18:47:20,13
41,Book hotel,1970-04-26 18:47:21,13
42,Check hotel,1970-04-26 18:47:22,14
43,Decide,1970-04-26 18:47:23,14
44,Book plane,1970-04-26 18:47:24,14
45,Check hotel,1970-04-26 18:47:25,15
46,Decide,1970-04-26 18:47:26,15
47,Book plane,1970-04-26 18:47:27,15
48,Check hotel,1970-04-26 18:47:28,16
49,Decide,1970-04-26 18:47:29,16
50,Book plane,1970-04-26 18:47:30,16
51,Check plane,1970-04-26 18:47:31,17
52,Decide,1970-04-26 18:47:32,17
53,Book plane,1970-04-26 18:47:33,17
54,Check plane,1970-04-26 18:47:34,18
55,Decide,1970-04-26 18:47:35,18
56,Book plane,1970-04-26 18:47:36,18
57,Check plane,1970-04-26 18:47:37,19
58,Decide,1970-04-26 18:47:38,19
59,Book hotel,1970-04-26 18:47:39,19
60,Check hotel,1970-04-26 18:47:40,20
61,Decide,1970-04-26 18:47:41,20
62,Book plane,1970-04-26 18:47:42,20
63,Check plane,1970-04-26 18:47:43,21
64,Decide,1970-04-26 18:47:44,21
65,Book hotel,1970-04-26 18:47:45,21
66,Check hotel,1970-04-26 18:47:46,22
67,Decide,1970-04-26 18:47:47,22
68,Book plane,1970-04-26 18:47:48,22
69,Check plane,1970-04-26 18:47:49,23
70,Decide,1970-04-26 18:47:50,23
71,Book plane,1970-04-26 18:47:51,23
72,Check hotel,1970-04-26 18:47:52,24
73,Decide,1970-04-26 18:47:53,24
74,Book plane,1970-04-26 18:47:54,24
75,Check hotel,1970-04-26 18:47:55,25
76,Decide,1970-04-26 18:47:56,25
77,Book hotel,1970-04-26 18:47:57,25
78,Check plane,1970-04-26 18:47:58,26
79,Decide,1970-04-26 18:47:59,26
80,Book hotel,1970-04-26 18:48:00,26
81,Check plane,1970-04-26 18:48:01,27
82,Decide,1970-04-26 18:48:02,27
83,Book hotel,1970-04-26 18:48:03,27
84,Check plane,1970-04-26 18:48:04,28
85,Decide,1970-04-26 18:48:05,28
86,Book hotel,1970-04-26 18:48:06,28
87,Check hotel,1970-04-26 18:48:07,29
88,Decide,1970-04-26 18:48:08,29
89,Book hotel,1970-04-26 18:48:09,29
90,Check hotel,1970-04-26 18:48:10,30
91,Decide,1970-04-26 18:48:11,30
92,Book hotel,1970-04-26 18:48:12,30
93,Check hotel,1970-04-26 18:48:13,31
94,Decide,1970-04-26 18:48:14,31
95,Book plane,1970-04-26 18:48:15,31
96,Check plane,1970-04-26 18:48:16,32
97,Decide,1970-04-26 18:48:17,32
98,Book plane,1970-04-26 18:48:18,32
99,Check plane,1970-04-26 18:48:19,33
100,Decide,1970-04-26 18:48:20,33
101,Book plane,1970-04-26 18:48:21,33
102,Check hotel,1970-04-26 18:48:22,34
103,Decide,1970-04-26 18:48:23,34
104,Book hotel,1970-04-26 18:48:24,34
105,Check hotel,1970-04-26 18:48:25,35
106,Decide,1970-04-26 18:48:26,35
107,Book plane,1970-04-26 18:48:27,35
108,Check plane,1970-04-26 18:48:28,36
109,Decide,1970-04-26 18:48:29,36
110,Book plane,1970-04-26 18:48:30,36
111,Check hotel,1970-04-26 18:48:31,37
112,Decide,1970-04-26 18:48:32,37
113,Book plane,1970-04-26 18:48:33,37
114,Check hotel,1970-04-26 18:48:34,38
115,Decide,1970-04-26 18:48:35,38
116,Book hotel,1970-04-26 18:48:36,38
117,Check hotel,1970-04-26 18:48:37,39
118,Decide,1970-04-26 18:48:38,39
119,Book hotel,1970-04-26 18:48:39,39
120,Check plane,1970-04-26 18:48:40,40
121,Decide,1970-04-26 18:48:41,40
122,Book hotel,1970-04-26 18:48:42,40
123,Check plane,1970-04-26 18:48:43,41
124,Decide,1970-04-26 18:48:44,41
125,Book hotel,1970-04-26 18:48:45,41
126,Check hotel,1970-04-26 18:48:46,42
127,Decide,1970-04-26 18:48:47,42
128,Book plane,1970-04-26 18:48:48,42
129,Check hotel,1970-04-26 18:48:49,43
130,Decide,1970-04-26 18:48:50,43
131,Book hotel,1970-04-26 18:48:51,43
132,Check plane,1970-04-26 18:48:52,44
133,Decide,1970-04-26 18:48:53,44
134,Book plane,1970-04-26 18:48:54,44
135,Check hotel,1970-04-26 18:48:55,45
136,Decide,1970-04-26 18:48:56,45
137,Book hotel,1970-04-26 18:48:57,45
138,Check hotel,1970-04-26 18:48:58,46
139,Decide,1970-04-26 18:48:59,46
140,Book plane,1970-04-26 18:49:00,46
141,Check plane,1970-04-26 18:49:01,47
142,Decide,1970-04-26 18:49:02,47
143,Book plane,1970-04-26 18:49:03,47
144,Check plane,1970-04-26 18:49:04,48
145,Decide,1970-04-26 18:49:05,48
146,Book plane,1970-04-26 18:49:06,48
147,Check hotel,1970-04-26 18:49:07,49
148,Decide,1970-04-26 18:49:08,49
149,Book hotel,1970-04-26 18:49:09,49
150,Check hotel,1970-04-26 18:49:10,50
151,Decide,1970-04-26 18:49:11,50
152,Book hotel,1970-04-26 18:49:12,50
153,Check hotel,1970-04-26 18:49:13,51
154,Decide,1970-04-26 18:49:14,51
155,Book plane,1970-04-26 18:49:15,51
156,Check hotel,1970-04-26 18:49:16,52
157,Decide,1970-04-26 18:49:17,52
158,Book hotel,1970-04-26 18:49:18,52
159,Check plane,1970-04-26 18:49:19,53
160,Decide,1970-04-26 18:49:20,53
161,Book hotel,1970-04-26 18:49:21,53
162,Check hotel,1970-04-26 18:49:22,54
163,Decide,1970-04-26 18:49:23,54
164,Book plane,1970-04-26 18:49:24,54
165,Check hotel,1970-04-26 18:49:25,55
166,Decide,1970-04-26 18:49:26,55
167,Book plane,1970-04-26 18:49:27,55
168,Check plane,1970-04-26 18:49:28,56
169,Decide,1970-04-26 18:49:29,56
170,Book hotel,1970-04-26 18:49:30,56
171,Check plane,1970-04-26 18:49:31,57
172,Decide,1970-04-26 18:49:32,57
173,Book hotel,1970-04-26 18:49:33,57
174,Check hotel,1970-04-26 18:49:34,58
175,Decide,1970-04-26 18:49:35,58
176,Book hotel,1970-04-26 18:49:36,58
177,Check hotel,1970-04-26 18:49:37,59
178,Decide,1970-04-26 18:49:38,59
179,Book hotel,1970-04-26 18:49:39,59
180,Check hotel,1970-04-26 18:49:40,60
181,Decide,1970-04-26 18:49:41,60
182,Book hotel,1970-04-26 18:49:42,60
183,Check plane,1970-04-26 18:49:43,61
184,Decide,1970-04-26 18:49:44,61
185,Book hotel,1970-04-26 18:49:45,61
186,Check hotel,1970-04-26 18:49:46,62
187,Decide,1970-04-26 18:49:47,62
188,Book hotel,1970-04-26 18:49:48,62
189,Check hotel,1970-04-26 18:49:49,63
190,Decide,1970-04-26 18:49:50,63
191,Book plane,1970-04-26 18:49:51,63
192,Check hotel,1970-04-26 18:49:52,64
193,Decide,1970-04-26 18:49:53,64
194,Book plane,1970-04-26 18:49:54,64
195,Check hotel,1970-04-26 18:49:55,65
196,Decide,1970-04-26 18:49:56,65
197,Book hotel,1970-04-26 18:49:57,65
198,Check hotel,1970-04-26 18:49:58,66
199,Decide,1970-04-26 18:49:59,66
200,Book hotel,1970-04-26 18:50:00,66
201,Check plane,1970-04-26 18:50:01,67
202,Decide,1970-04-26 18:50:02,67
203,Book plane,1970-04-26 18:50:03,67
204,Check plane,1970-04-26 18:50:04,68
205,Decide,1970-04-26 18:50:05,68
206,Book plane,1970-04-26 18:50:06,68
207,Check plane,1970-04-26 18:50:07,69
208,Decide,1970-04-26 18:50:08,69
209,Book plane,1970-04-26 18:50:09,69
210,Check hotel,1970-04-26 18:50:10,70
211,Decide,1970-04-26 18:50:11,70
212,Book plane,1970-04-26 18:50:12,70
213,Check plane,1970-04-26 18:50:13,71
214,Decide,1970-04-26 18:50:14,71
215,Book plane,1970-04-26 18:50:15,71
216,Check hotel,1970-04-26 18:50:16,72
217,Decide,1970-04-26 18:50:17,72
218,Book hotel,1970-04-26 18:50:18,72
219,Check hotel,1970-04-26 18:50:19,73
220,Decide,1970-04-26 18:50:20,73
221,Book plane,1970-04-26 18:50:21,73
222,Check hotel,1970-04-26 18:50:22,74
223,Decide,1970-04-26 18:50:23,74
224,Book hotel,1970-04-26 18:50:24,74
225,Check hotel,1970-04-26 18:50:25,75
226,Decide,1970-04-26 18:50:26,75
227,Book plane,1970-04-26 18:50:27,75
228,Check hotel,1970-04-26 18:50:28,76
229,Decide,1970-04-26 18:50:29,76
230,Book hotel,1970-04-26 18:50:30,76
231,Check plane,1970-04-26 18:50:31,77
232,Decide,1970-04-26 18:50:32,77
233,Book hotel,1970-04-26 18:50:33,77
234,Check hotel,1970-04-26 18:50:34,78
235,Decide,1970-04-26 18:50:35,78
236,Book plane,1970-04-26 18:50:36,78
237,Check plane,1970-04-26 18:50:37,79
238,Decide,1970-04-26 18:50:38,79
239,Book hotel,1970-04-26 18:50:39,79
240,Check plane,1970-04-26 18:50:40,80
241,Decide,1970-04-26 18:50:41,80
242,Book plane,1970-04-26 18:50:42,80
243,Check hotel,1970-04-26 18:50:43,81
244,Decide,1970-04-26 18:50:44,81
245,Book plane,1970-04-26 18:50:45,81
246,Check hotel,1970-04-26 18:50:46,82
247,Decide,1970-04-26 18:50:47,82
248,Book hotel,1970-04-26 18:50:48,82
249,Check plane,1970-04-26 18:50:49,83
250,Decide,1970-04-26 18:50:50,83
251,Book plane,1970-04-26 18:50:51,83
252,Check plane,1970-04-26 18:50:52,84
253,Decide,1970-04-26 18:50:53,84
254,Book plane,1970-04-26 18:50:54,84
255,Check plane,1970-04-26 18:50:55,85
256,Decide,1970-04-26 18:50:56,85
257,Book hotel,1970-04-26 18:50:57,85
258,Check plane,1970-04-26 18:50:58,86
259,Decide,1970-04-26 18:50:59,86
260,Book plane,1970-04-26 18:51:00,86
261,Check hotel,1970-04-26 18:51:01,87
